AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Восточный административный округ,"{'coordinates': [37.8139731143603, 55.7295808663792], 'type': 'Point'}",МосГу,район Вешняки,"город Москва, улица Юности, дом 5",Образование.Вузы.639894029,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5958793909775, 55.7901431582248], 'type': 'Point'}",СТАНКИН,Тверской район,"город Москва, Вадковский переулок, дом 3А, строение 1",Образование.Вузы.639894030,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.637228655914, 55.8350562728657], 'type': 'Point'}",ВГИК,район Ростокино,"город Москва, улица Вильгельма Пика, дом 3",Образование.Вузы.639894031,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.6046679913554, 55.662660310993], 'type': 'Point'}",РПА Минюста,район Зюзино,"город Москва, Азовская улица, дом 2, корпус 1",Образование.Вузы.639894032,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6673446424366, 55.7436160470726], 'type': 'Point'}",МГАХИ им. Сурикова,Таганский район,"город Москва, Товарищеский переулок, дом 30, строение 1",Образование.Вузы.639894033,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.8176722527909, 55.7140769333732], 'type': 'Point'}",ГУУ,район Выхино-Жулебино,"город Москва, Рязанский проспект, дом 99, строение 1",Образование.Вузы.639894034,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5762996537021, 55.7322786823488], 'type': 'Point'}",МПГУ,район Хамовники,"город Москва, Малая Пироговская улица, дом 1, строение 1",Образование.Вузы.639894036,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.609005248565, 55.7326952417203], 'type': 'Point'}",ГАУГН,район Якиманка,"город Москва, Мароновский переулок, дом 26",Образование.Вузы.639894037,Образование,Вузы
Южный административный округ,"{'coordinates': [37.6645212011746, 55.6499685355551], 'type': 'Point'}",МИФИ,район Москворечье-Сабурово,"город Москва, Каширское шоссе, дом 31",Образование.Вузы.639894038,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6020323693564, 55.7625275641567], 'type': 'Point'}",Литературный институт им. Горького,Пресненский район,"город Москва, Тверской бульвар, дом 25, строение 1",Образование.Вузы.639894039,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5918326396044, 55.7557701194426], 'type': 'Point'}",Гнесинка,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Поварская улица, дом 30-36, строение 1",Образование.Вузы.639894040,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.712148985568604, 55.7552756848485], 'type': 'Point'}",МТУСИ,район Лефортово,"город Москва, Авиамоторная улица, дом 8, строение 2",Образование.Вузы.639894041,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6560119564379, 55.745986240524], 'type': 'Point'}",МГУТУ им. Разумовского,Таганский район,"город Москва, улица Земляной Вал, дом 73",Образование.Вузы.639894042,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5951916244196, 55.7788682270625], 'type': 'Point'}",РХТУ им. Менделеева,Тверской район,"город Москва, Миусская площадь, дом 9, строение 1",Образование.Вузы.639894043,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.7935275294003, 55.6986292655238], 'type': 'Point'}",Ветеринарная академия Скрябина,район Выхино-Жулебино,"город Москва, улица Академика Скрябина, дом 23, строение 1",Образование.Вузы.639894044,Образование,Вузы
Южный административный округ,"{'coordinates': [37.7398448003033, 55.6246458525553], 'type': 'Point'}",ИТПИ ВШНИ,район Зябликово,"город Москва, улица Мусы Джалиля, дом 14, корпус 2",Образование.Вузы.639894045,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6823202982033, 55.7625171198275], 'type': 'Point'}",РосНОУ,Басманный район,"город Москва, улица Радио, дом 22",Образование.Вузы.639894046,Образование,Вузы
