ID,Name,Address,AdmArea,District,geoData,Category,SubCategory
Образование.Вузы.639894029,МосГу,"город Москва, улица Юности, дом 5",Восточный административный округ,район Вешняки,"{'coordinates': [37.8139731143603, 55.7295808663792], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894030,СТАНКИН,"город Москва, Вадковский переулок, дом 3А, строение 1",Центральный административный округ,Тверской район,"{'coordinates': [37.5958793909775, 55.7901431582248], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894031,ВГИК,"город Москва, улица Вильгельма Пика, дом 3",Северо-Восточный административный округ,район Ростокино,"{'coordinates': [37.637228655914, 55.8350562728657], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894032,РПА Минюста,"город Москва, Азовская улица, дом 2, корпус 1",Юго-Западный административный округ,район Зюзино,"{'coordinates': [37.6046679913554, 55.662660310993], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894033,МГАХИ им. Сурикова,"город Москва, Товарищеский переулок, дом 30, строение 1",Центральный административный округ,Таганский район,"{'coordinates': [37.6673446424366, 55.7436160470726], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894034,ГУУ,"город Москва, Рязанский проспект, дом 99, строение 1",Юго-Восточный административный округ,район Выхино-Жулебино,"{'coordinates': [37.8176722527909, 55.7140769333732], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894036,МПГУ,"город Москва, Малая Пироговская улица, дом 1, строение 1",Центральный административный округ,район Хамовники,"{'coordinates': [37.5762996537021, 55.7322786823488], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894037,ГАУГН,"город Москва, Мароновский переулок, дом 26",Центральный административный округ,район Якиманка,"{'coordinates': [37.609005248565, 55.7326952417203], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894038,МИФИ,"город Москва, Каширское шоссе, дом 31",Южный административный округ,район Москворечье-Сабурово,"{'coordinates': [37.6645212011746, 55.6499685355551], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894039,Литературный институт им. Горького,"город Москва, Тверской бульвар, дом 25, строение 1",Центральный административный округ,Пресненский район,"{'coordinates': [37.6020323693564, 55.7625275641567], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894040,Гнесинка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Поварская улица, дом 30-36, строение 1",Центральный административный округ,район Арбат,"{'coordinates': [37.5918326396044, 55.7557701194426], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894041,МТУСИ,"город Москва, Авиамоторная улица, дом 8, строение 2",Юго-Восточный административный округ,район Лефортово,"{'coordinates': [37.712148985568604, 55.7552756848485], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894042,МГУТУ им. Разумовского,"город Москва, улица Земляной Вал, дом 73",Центральный административный округ,Таганский район,"{'coordinates': [37.6560119564379, 55.745986240524], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894043,РХТУ им. Менделеева,"город Москва, Миусская площадь, дом 9, строение 1",Центральный административный округ,Тверской район,"{'coordinates': [37.5951916244196, 55.7788682270625], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894044,Ветеринарная академия Скрябина,"город Москва, улица Академика Скрябина, дом 23, строение 1",Юго-Восточный административный округ,район Выхино-Жулебино,"{'coordinates': [37.7935275294003, 55.6986292655238], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894045,ИТПИ ВШНИ,"город Москва, улица Мусы Джалиля, дом 14, корпус 2",Южный административный округ,район Зябликово,"{'coordinates': [37.7398448003033, 55.6246458525553], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894046,РосНОУ,"город Москва, улица Радио, дом 22",Центральный административный округ,Басманный район,"{'coordinates': [37.6823202982033, 55.7625171198275], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894047,Академия хореографии,"город Москва, 2-я Фрунзенская улица, дом 5",Центральный административный округ,район Хамовники,"{'coordinates': [37.5807269907652, 55.7216291247567], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894048,РГСУ,"город Москва, улица Вильгельма Пика, дом 4, строение 1",Северо-Восточный административный округ,район Ростокино,"{'coordinates': [37.6353056022648, 55.83491764282], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894049,МГЛУ,"город Москва, улица Остоженка, дом 38, строение 1",Центральный административный округ,район Хамовники,"{'coordinates': [37.5941628316239, 55.7388118001726], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894050,Академия Генеральной прокуратуры,"город Москва, Азовская улица, дом 2, корпус 1",Юго-Западный административный округ,район Зюзино,"{'coordinates': [37.6046679913554, 55.662660310993], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894054,МГУ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, территория Ленинские Горы, дом 1",Западный административный округ,район Раменки,"{'coordinates': [37.5307339990629, 55.7029088244821], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894057,МГЮА,"город Москва, Садовая-Кудринская улица, дом 9, строение 1",Центральный административный округ,Пресненский район,"{'coordinates': [37.5859904401283, 55.7621087745118], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894058,МФЮА,"город Москва, улица Введенского, дом 1",Юго-Западный административный округ,район Коньково,"{'coordinates': [37.5522202720039, 55.6468705485901], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894065,ИМЭС,"город Москва, Мосфильмовская улица, дом 35",Западный административный округ,район Раменки,"{'coordinates': [37.510753692501, 55.7120701794168], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894070,Гос. ИРЯ им. Пушкина,"город Москва, улица Академика Волгина, дом 6",Юго-Западный административный округ,Обручевский район,"{'coordinates': [37.5180869033341, 55.6534915687864], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894071,МИТУ - МАСИ,"город Москва, Волгоградский проспект, дом 32, корпус 11",Юго-Восточный административный округ,Южнопортовый район,"{'coordinates': [37.6918897415057, 55.7229798637016], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894079,РГГУ им.Орджоникидзе,"город Москва, улица Миклухо-Маклая, дом 23",Юго-Западный административный округ,Обручевский район,"{'coordinates': [37.5133901247844, 55.6497705564818], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894081,Губкинский университет,"город Москва, Ленинский проспект, дом 65, корпус 1",Юго-Западный административный округ,Гагаринский район,"{'coordinates': [37.5552125540843, 55.6920593192329], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894087,СФИ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 29",Центральный административный округ,Басманный район,"{'coordinates': [37.648625819202, 55.7605117843969], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894090,МЭИ,"город Москва, Красноказарменная улица, дом 14, строение 1А",Юго-Восточный административный округ,район Лефортово,"{'coordinates': [37.7067270623844, 55.7543289009685], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894091,МАДИ,"город Москва, Ленинградский проспект, дом 64",Северный административный округ,район Аэропорт,"{'coordinates': [37.5289519621927, 55.8023559069539], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894100,ММУ,"город Москва, Ленинградский проспект, дом 17",Северный административный округ,район Беговой,"{'coordinates': [37.5707191218476, 55.7819750748996], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894106,АСОУ,"город Москва, Енисейская улица, дом 3, корпус 5",Северо-Восточный административный округ,Бабушкинский район,"{'coordinates': [37.6550918968588, 55.8591057268641], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894107,Вышка,"город Москва, Мясницкая улица, дом 20",Центральный административный округ,Басманный район,"{'coordinates': [37.6334310615455, 55.761446587525], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894109,МГИМО,"город Москва, проспект Вернадского, дом 76, корпус 1",Западный административный округ,район Проспект Вернадского,"{'coordinates': [37.4847987115464, 55.6738562403589], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894110,Щука,"город Москва, Большой Николопесковский переулок, дом 12А, строение 1",Центральный административный округ,район Арбат,"{'coordinates': [37.5904300827496, 55.7517095445649], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894117,ГУЗ,"город Москва, улица Казакова, дом 15",Центральный административный округ,Басманный район,"{'coordinates': [37.6637431942861, 55.7629137357895], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894120,Институт туризма Сенкевича,"город Москва, Кронштадтский бульвар, дом 43А",Северный административный округ,Головинский район,"{'coordinates': [37.5088961738353, 55.8515096143979], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894121,МИРЭА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 78, строение 1",Западный административный округ,район Тропарёво-Никулино,"{'coordinates': [37.4812828795421, 55.6707638135037], 'type': 'Point'}",Образование,Вузы
Образование.Вузы.639894126,ИГУМО и ИТ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Верхняя Первомайская улица, дом 53",Восточный административный округ,район Измайлово,"{'coordinates': [37.8001493177352, 55.7995567515426], 'type': 'Point'}",Образование,Вузы
